class,text
ham,What is important is that you prevent dehydration by giving her enough fluids
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,Well good morning mr . Hows london treatin' ya treacle?
ham,Give one miss from that number please
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..
ham,"Aight, you close by or still down around alex's place?"
ham,ÌÏ come lt 25 n pass to me lar
ham,Remind me how to get there and I shall do so
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,No da if you run that it activate the full version da.
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,Got meh... When?
ham,Just send a text. We'll skype later.
ham,Then she dun believe wat?
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,5 nights...We nt staying at port step liao...Too ex
ham,"Ta-Daaaaa! I am home babe, are you still up ?"
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
spam,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
ham,Ok u can take me shopping when u get paid =D
ham,Lol for real. She told my dad I have cancer
ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
ham,Erm. I thought the contract ran out the4th of october.
ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
ham,Horrible bf... I now v hungry...
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Not a drop in the tank
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
ham,Bognor it is! Should be splendid at this time of year.
ham,And of course you should make a stink!
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham,Ya had just now.onion roast.
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,You still around? Looking to pick up later
spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,I had askd u a question some hours before. Its answer
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
ham,Goin to workout lor... Muz lose e fats... 
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Well that must be a pain to catch
ham,How much did ur hdd casing cost.
ham,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger."
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham,Ok which your another number
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,What time is ur flight tmr?
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?"
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,S.this will increase the chance of winning.
ham,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?"
ham,Yes da. Any plm at ur office
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
ham,Good night. Am going to sleep.
ham,That's the way you should stay oh.
ham,at bruce b downs &amp; fletcher now
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,"K, can I pick up another 8th when you're done?"
ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,"Sorry, I'll call later"
ham,Mm i am on the way to railway
ham,"Sorry, I'll call later"
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,I fetch yun or u fetch?
ham,Ho ho - big belly laugh! See ya tomo
ham,"And stop wondering \wow is she ever going to stop tm'ing me ?!\"" because I will tm you whenever I want because you are MINE ... *laughs*"""
ham,I not busy juz dun wan 2 go so early.. Hee.. 
ham,Ryder unsold.now gibbs.
ham,Check audrey's status right now
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,How was txting and driving
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
ham,Are you plans with your family set in stone ?
ham,Probably earlier than that if the station's where I think it is
spam,"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+"
ham,Oh dang! I didn't mean o send that to you! Lol!
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,I cant pick the phone right now. Pls send a message
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,Thanks love. But am i doing torch or bold.
ham,I wonder if you'll get this text?
ham,Good. No swimsuit allowed :)
ham,Also are you bringing galileo or dobby
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,"Sorry my roommates took forever, it ok if I come by now?"
ham,Ew are you one of them?
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,Was the actual exam harder than NBME
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Omg it could snow here tonite!
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
ham,Okay... I booked all already... Including the one at bugis.
ham,Now got tv 2 watch meh? U no work today?
ham,U in town alone?
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
ham,"K, want us to come by now?"
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
ham,Tired. I haven't slept well the past few nights.
ham,Just finished eating. Got u a plate. NOT leftovers this time.
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,Thts god's gift for birds as humans hav some natural gift frm god..
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Did u download the fring app?
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
ham,Hey leave it. not a big deal:-) take care.
ham,I went to project centre
ham,"U so lousy, run already come back then half dead... Hee..."
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Oic... Then better quickly go bathe n settle down...
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"""
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL
ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,So wat's da decision?
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,U know we watchin at lido?
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Yes i will be there. Glad you made it.
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
ham,But i have to. I like to have love and arrange.
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,Yup ok thanx...
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
ham,"Just wondering, the others just took off"
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
ham,\Keep ur problems in ur heart
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,ÌÏ log off 4 wat. It's sdryb8i
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...
ham,"Usf I guess, might as well take 1 car"
ham,That's a shame! Maybe cld meet for few hrs tomo?
ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
ham,I love your ass! Do you enjoy doggy style? :)
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
ham,O i played smash bros  &lt;#&gt;  religiously.
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,I plane to give on this month end.
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Hahaha..use your brain dear
ham,What about this one then.
ham,"\Thinking of u ;) x\"""""
ham,That day you asked about anand number. Why:-)
ham,"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
ham,That one week leave i put know that time. Why.
ham,One small prestige problem now.
ham,My sister got placed in birla soft da:-)
ham,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham,Oh... Okie lor...We go on sat... 
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\"""""
ham,With my sis lor... We juz watched italian job.
ham,Surely result will offer:)
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...
spam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,From 5 to 2 only my work timing.
ham,Ok then no need to tell me anything i am going to sleep good night
ham,Every monday..nxt week vl be completing..
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
ham,Is there any movie theatre i can go to and watch unlimited movies and just pay once?
ham,"Call me da, i am waiting for your call."
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
ham,But you were together so you should be thinkin about him
ham,At the funeral home with Audrey and dad
ham,Takin a shower now but yeah I'll leave when I'm done
ham,Nice.nice.how is it working?
